67---朝鲜: 0.199, 韩国: 0.0352, 导弹: 0.035, 朝鲜半岛: 0.0246, 发射: 0.0224, 美国: 0.0218, 弹道导弹: 0.0201, 核试验: 0.0183, 制裁: 0.017, 试射: 0.0139, 中国: 0.0117, 挑衅: 0.0109, 指出: 0.0106, 核武器: 0.0085, 平壤: 0.0085, 核武: 0.0084, 联合: 0.0083, 日本: 0.008, 专家: 0.0076, 打击: 0.0074
34---打死: 0.0739, 恐怖袭击: 0.0681, 武装: 0.0658, 伊国: 0.065, 分子: 0.0643, 组织: 0.0623, 关联: 0.0564, 空袭: 0.0562, 非洲: 0.0552, 叙利亚: 0.0501, 声明: 0.0443, 消息: 0.033, 发动: 0.0245, 政府军: 0.024, 伊斯兰: 0.0173, 军方: 0.0166, 保护: 0.0162, 巡逻: 0.0157, 地区: 0.015, 部队: 0.015
20---油气: 0.0828, 地带: 0.0775, 压裂: 0.0769, 水力: 0.0769, 开采: 0.0762, 铁锈: 0.0744, 密歇根: 0.0566, 摇摆: 0.0498, 白人: 0.0486, 宾州: 0.0439, 选举人: 0.0367, 赢得: 0.0362, 候选人: 0.0286, 政府: 0.0268, 大选: 0.0243, 民调: 0.0237, 选票: 0.023, 预测: 0.0142, 总统: 0.0135, 行业: 0.013
53---环球网: 0.0719, 操纵: 0.0646, 假新闻: 0.0646, 选举人: 0.0628, 反超: 0.0572, 获胜: 0.0548, 候选人: 0.0546, 统计数据: 0.0491, 佐治亚州: 0.046, 承认: 0.0453, 新闻: 0.0356, 总统: 0.0349, 时间: 0.0341, 内华达州: 0.0331, 数字: 0.0284, 宾夕法尼亚州: 0.0282, 媒体: 0.0272, 赢得: 0.0246, 选举: 0.0222, 领先: 0.0206
14---航班: 0.1473, 飞往: 0.0677, 航空公司: 0.0629, 乘客: 0.0534, 机票: 0.0495, 收取: 0.0424, 航空: 0.0412, 航线: 0.0299, 低迷: 0.0291, 客运: 0.0273, 恢复: 0.0258, 业务: 0.0254, 美国: 0.0251, 国际: 0.0232, 减少: 0.0222, 中国: 0.0203, 疫情: 0.02, 运输部: 0.0172, 上海: 0.0149, 搭乘: 0.0148
10---语调: 0.1196, 无敌: 0.1196, 改造: 0.0995, 领先: 0.0933, 速度: 0.0843, 普京: 0.0612, 升级: 0.0596, 武器: 0.0524, 拥有: 0.0513, 俄罗斯: 0.0398, 导弹: 0.0312, 军售: 0.0276, 台湾: 0.0252, 售台: 0.0229, 中美: 0.0132, 美台: 0.0126, 美国: 0.0117, 出售: 0.0087, 系统: 0.0084, 原则: 0.0083
17---绳子: 0.1418, 男子: 0.1397, 自杀: 0.1295, 芝加哥: 0.0931, 大厦: 0.0915, 警方: 0.0513, 视频: 0.0499, 女子: 0.036, 袭击: 0.033, 报道: 0.0313, 新冠: 0.028, 美国: 0.0225, 送往: 0.02, 手枪: 0.0172, 警察: 0.0138, 医院: 0.0119, 截图: 0.0113, 击中: 0.0107, 目击者: 0.0106, 市中心: 0.0105
60---冠病: 0.1058, 墓地: 0.105, 死亡: 0.0684, 确诊: 0.0647, 病疫情: 0.0625, 全球: 0.0522, 病例: 0.0499, 累计: 0.0479, 欧洲: 0.0454, 疫情: 0.0387, 单日: 0.0341, 突破: 0.034, 意大利: 0.0312, 人数: 0.0293, 超过: 0.0292, 西班牙: 0.0257, 新增: 0.0238, 美国: 0.0196, 措施: 0.0138, 控制: 0.0112
6---活命: 0.0776, 看不到: 0.0709, 挣扎: 0.067, 听到: 0.0614, 监护室: 0.0613, 护士: 0.06, 同事: 0.0577, 重症: 0.0527, 病人: 0.0525, 呼吸机: 0.0511, 资源: 0.0409, 讲述: 0.0381, 医院: 0.0359, 政府: 0.0264, 逝去: 0.0193, 患者: 0.0172, 病毒: 0.017, 疫情: 0.0153, 体系: 0.0136, 费用: 0.0135
49---冲击: 0.0898, 增长: 0.0756, 复工: 0.0736, 影响: 0.0725, 经济: 0.0601, 消费: 0.0497, 工厂: 0.047, 全球: 0.0431, 中国: 0.043, 疫情: 0.0398, 旅游: 0.0341, 危机: 0.0339, 市场: 0.0338, 企业: 0.0332, 汽车: 0.0322, 肺炎: 0.0295, 武汉: 0.0275, 英国: 0.0233, 需求: 0.0176, 指出: 0.0161
4---国安法: 0.0989, 香港: 0.0816, 基本法: 0.0505, 法律: 0.0453, 护照: 0.0428, 国家: 0.0411, 北京: 0.0373, 中国: 0.0369, 民主派: 0.0336, 宪制: 0.0318, 港人: 0.0309, 英国: 0.0301, 外国: 0.0247, 资格: 0.0233, 条文: 0.0231, 港区: 0.0215, 香港特区: 0.0198, 法官: 0.0195, 工作: 0.0193, 拉布: 0.0189
35---导弹: 0.1141, 系统: 0.0665, 防御: 0.0605, 弹道导弹: 0.0549, 发射: 0.0517, 拦截: 0.0396, 试射: 0.0372, 部署: 0.0332, 反导: 0.0247, 能力: 0.0236, 武器: 0.0217, 测试: 0.0211, 东风: 0.0181, 威胁: 0.018, 美国: 0.018, 民兵: 0.0175, 韩国: 0.0165, 一带: 0.0162, 星州: 0.0141, 朝鲜: 0.0138
42---枪手: 0.1058, 发生: 0.099, 仇恨: 0.0859, 数量: 0.0589, 犯罪: 0.0579, 机构: 0.0495, 报告: 0.0461, 执法: 0.0405, 数据: 0.0396, 泄漏: 0.0388, 车厢: 0.0371, 脱轨: 0.0352, 亚裔: 0.0322, 事故: 0.0305, 枪击: 0.028, 事件: 0.0201, 官员: 0.0179, 现场: 0.0165, 土耳其: 0.0136, 地震: 0.0114
28---贸易: 0.1284, 协议: 0.1131, 采购: 0.0825, 大豆: 0.0808, 中国: 0.0666, 期货: 0.0483, 目标: 0.0466, 能源: 0.0456, 购买: 0.0424, 进口额: 0.0402, 美国: 0.0362, 报告: 0.0306, 出口: 0.0272, 德洛: 0.0221, 农产品: 0.0214, 取消: 0.0151, 商品: 0.0148, 进口: 0.014, 关税: 0.0129, 评估: 0.0095
8---空客: 0.0891, 关税: 0.0837, 补贴: 0.081, 商品: 0.0808, 加征: 0.0646, 贸易: 0.0589, 违规: 0.0543, 代表: 0.0525, 飞机: 0.0437, 航空: 0.0416, 办公室: 0.0394, 欧洲: 0.0393, 争端: 0.034, 裁决: 0.0249, 征收: 0.0232, 波音: 0.0222, 提供: 0.0211, 谈判: 0.0158, 美国: 0.0154, 实施: 0.0149
68---韩国: 0.1529, 分担: 0.1281, 韩美: 0.1071, 防卫: 0.0876, 谈判: 0.0849, 参加: 0.0532, 朝鲜: 0.0436, 朝鲜半岛: 0.0365, 联合: 0.0353, 美国: 0.0322, 军演: 0.0321, 立场: 0.0244, 表态: 0.0241, 青瓦台: 0.0241, 导弹: 0.0238, 半岛: 0.0189, 协商: 0.0159, 报道: 0.0157, 轰炸机: 0.0128, 局势: 0.0126
